feat_name,feature_num
birthday,376
birthday,0
birthday,1
birthday,209
birthday,2
birthday,3
birthday,210
birthday,4
birthday,5
birthday,6
birthday,7
birthday,377
birthday,378
birthday,379
birthday,380
birthday,381
birthday,382
educationconcentrationid,383
educationconcentrationid,13
educationconcentrationid,384
educationconcentrationid,213
educationconcentrationid,385
educationconcentrationid,386
educationconcentrationid,14
educationconcentrationid,387
educationconcentrationid,388
educationconcentrationid,15
educationconcentrationid,389
educationconcentrationid,390
educationconcentrationid,391
educationconcentrationid,338
educationconcentrationid,392
educationconcentrationid,393
educationconcentrationid,215
educationconcentrationid,394
educationconcentrationid,395
educationconcentrationid,396
educationconcentrationid,397
educationconcentrationid,216
educationconcentrationid,398
educationconcentrationid,399
educationconcentrationid,400
educationconcentrationid,401
educationconcentrationid,217
educationconcentrationid,18
educationconcentrationid,402
educationconcentrationid,403
educationconcentrationid,404
educationconcentrationid,405
educationconcentrationid,406
educationconcentrationid,407
educationconcentrationid,408
educationconcentrationid,409
educationconcentrationid,410
educationconcentrationid,411
educationconcentrationid,412
educationconcentrationid,413
educationconcentrationid,414
educationconcentrationid,415
educationconcentrationid,416
educationconcentrationid,218
educationconcentrationid,417
educationconcentrationid,418
educationconcentrationid,419
educationconcentrationid,420
educationconcentrationid,421
educationconcentrationid,422
educationconcentrationid,423
educationconcentrationid,424
educationconcentrationid,425
educationconcentrationid,426
educationconcentrationid,427
educationconcentrationid,428
educationconcentrationid,429
educationconcentrationid,430
educationdegreeid,21
educationdegreeid,431
educationdegreeid,313
educationdegreeid,432
educationdegreeid,433
educationdegreeid,22
educationdegreeid,434
educationdegreeid,23
educationdegreeid,435
educationdegreeid,222
educationdegreeid,436
educationdegreeid,223
educationdegreeid,437
educationdegreeid,438
educationschoolid,439
educationschoolid,440
educationschoolid,225
educationschoolid,441
educationschoolid,442
educationschoolid,314
educationschoolid,443
educationschoolid,444
educationschoolid,226
educationschoolid,227
educationschoolid,445
educationschoolid,446
educationschoolid,447
educationschoolid,228
educationschoolid,448
educationschoolid,229
educationschoolid,449
educationschoolid,450
educationschoolid,451
educationschoolid,452
educationschoolid,453
educationschoolid,230
educationschoolid,315
educationschoolid,454
educationschoolid,455
educationschoolid,456
educationschoolid,457
educationschoolid,232
educationschoolid,458
educationschoolid,459
educationschoolid,460
educationschoolid,461
educationschoolid,462
educationschoolid,463
educationschoolid,464
educationschoolid,465
educationschoolid,466
educationschoolid,467
educationschoolid,468
educationschoolid,469
educationschoolid,470
educationschoolid,471
educationschoolid,472
educationschoolid,473
educationschoolid,474
educationschoolid,233
educationschoolid,475
educationschoolid,476
educationschoolid,234
educationschoolid,235
educationschoolid,477
educationschoolid,478
educationschoolid,479
educationschoolid,480
educationschoolid,481
educationschoolid,482
educationschoolid,483
educationschoolid,236
educationschoolid,484
educationschoolid,485
educationschoolid,486
educationschoolid,487
educationschoolid,488
educationschoolid,489
educationschoolid,490
educationschoolid,316
educationschoolid,237
educationschoolid,491
educationschoolid,492
educationschoolid,493
educationschoolid,494
educationschoolid,495
educationschoolid,496
educationschoolid,238
educationschoolid,44
educationschoolid,497
educationschoolid,498
educationschoolid,499
educationschoolid,500
educationschoolid,501
educationschoolid,502
educationschoolid,240
educationschoolid,503
educationschoolid,504
educationschoolid,505
educationschoolid,506
educationschoolid,507
educationschoolid,508
educationschoolid,509
educationschoolid,317
educationschoolid,510
educationschoolid,511
educationschoolid,512
educationschoolid,243
educationschoolid,513
educationschoolid,514
educationschoolid,245
educationschoolid,515
educationschoolid,516
educationschoolid,517
educationschoolid,246
educationschoolid,518
educationschoolid,247
educationschoolid,519
educationschoolid,520
educationschoolid,521
educationschoolid,248
educationschoolid,522
educationschoolid,523
educationschoolid,524
educationschoolid,318
educationschoolid,249
educationschoolid,525
educationschoolid,319
educationschoolid,526
educationschoolid,320
educationschoolid,527
educationschoolid,528
educationschoolid,529
educationschoolid,530
educationschoolid,531
educationschoolid,532
educationschoolid,250
educationschoolid,533
educationschoolid,251
educationschoolid,534
