ego_feature,index,feature_name,feature_number
0,0,birthday,376
0,1,birthday,0
0,2,birthday,1
0,3,birthday,209
0,4,birthday,2
0,5,birthday,3
0,6,birthday,210
0,7,birthday,4
1,8,birthday,5
0,9,birthday,6
0,10,birthday,7
0,11,birthday,377
0,12,birthday,378
0,13,birthday,379
0,14,birthday,380
0,15,birthday,381
0,16,birthday,382
0,17,education,concentration
0,18,education,concentration
0,19,education,concentration
0,20,education,concentration
0,21,education,concentration
0,22,education,concentration
0,23,education,concentration
0,24,education,concentration
0,25,education,concentration
0,26,education,concentration
0,27,education,concentration
0,28,education,concentration
0,29,education,concentration
0,30,education,concentration
0,31,education,concentration
0,32,education,concentration
0,33,education,concentration
0,34,education,concentration
0,35,education,concentration
0,36,education,concentration
0,37,education,concentration
0,38,education,concentration
0,39,education,concentration
0,40,education,concentration
0,41,education,concentration
0,42,education,concentration
0,43,education,concentration
0,44,education,concentration
0,45,education,concentration
0,46,education,concentration
0,47,education,concentration
0,48,education,concentration
0,49,education,concentration
0,50,education,concentration
0,51,education,concentration
0,52,education,concentration
0,53,education,concentration
0,54,education,concentration
0,55,education,concentration
0,56,education,concentration
0,57,education,concentration
0,58,education,concentration
0,59,education,concentration
0,60,education,concentration
0,61,education,concentration
0,62,education,concentration
0,63,education,concentration
0,64,education,concentration
0,65,education,concentration
0,66,education,concentration
0,67,education,concentration
0,68,education,concentration
0,69,education,concentration
0,70,education,concentration
0,71,education,concentration
0,72,education,concentration
0,73,education,concentration
0,74,education,concentration
0,75,education,degree
0,76,education,degree
0,77,education,degree
0,78,education,degree
0,79,education,degree
1,80,education,degree
0,81,education,degree
0,82,education,degree
0,83,education,degree
0,84,education,degree
0,85,education,degree
0,86,education,degree
0,87,education,degree
0,88,education,degree
0,89,education,school
0,90,education,school
0,91,education,school
0,92,education,school
0,93,education,school
0,94,education,school
0,95,education,school
0,96,education,school
0,97,education,school
0,98,education,school
0,99,education,school
0,100,education,school
0,101,education,school
0,102,education,school
0,103,education,school
0,104,education,school
0,105,education,school
0,106,education,school
0,107,education,school
0,108,education,school
0,109,education,school
0,110,education,school
0,111,education,school
0,112,education,school
0,113,education,school
0,114,education,school
0,115,education,school
0,116,education,school
0,117,education,school
0,118,education,school
0,119,education,school
0,120,education,school
0,121,education,school
0,122,education,school
0,123,education,school
0,124,education,school
0,125,education,school
0,126,education,school
0,127,education,school
0,128,education,school
0,129,education,school
0,130,education,school
0,131,education,school
0,132,education,school
0,133,education,school
0,134,education,school
0,135,education,school
0,136,education,school
0,137,education,school
0,138,education,school
0,139,education,school
0,140,education,school
0,141,education,school
0,142,education,school
0,143,education,school
0,144,education,school
0,145,education,school
0,146,education,school
0,147,education,school
0,148,education,school
0,149,education,school
0,150,education,school
0,151,education,school
0,152,education,school
0,153,education,school
0,154,education,school
0,155,education,school
0,156,education,school
0,157,education,school
0,158,education,school
0,159,education,school
0,160,education,school
0,161,education,school
0,162,education,school
0,163,education,school
0,164,education,school
0,165,education,school
0,166,education,school
0,167,education,school
0,168,education,school
0,169,education,school
0,170,education,school
0,171,education,school
0,172,education,school
0,173,education,school
0,174,education,school
0,175,education,school
0,176,education,school
0,177,education,school
0,178,education,school
0,179,education,school
0,180,education,school
0,181,education,school
0,182,education,school
0,183,education,school
0,184,education,school
0,185,education,school
0,186,education,school
0,187,education,school
0,188,education,school
0,189,education,school
0,190,education,school
