ego_feature,index,feature_name,feature_number
0,0,birthday,376
0,1,birthday,0
0,2,birthday,1
0,3,birthday,209
0,4,birthday,2
0,5,birthday,3
0,6,birthday,210
0,7,birthday,4
1,8,birthday,5
0,9,birthday,6
0,10,birthday,7
0,11,birthday,377
0,12,birthday,378
0,13,birthday,379
0,14,birthday,380
0,15,birthday,381
0,16,birthday,382
0,17,educationconcentrationid,383
0,18,educationconcentrationid,13
0,19,educationconcentrationid,384
0,20,educationconcentrationid,213
0,21,educationconcentrationid,385
0,22,educationconcentrationid,386
0,23,educationconcentrationid,14
0,24,educationconcentrationid,387
0,25,educationconcentrationid,388
0,26,educationconcentrationid,15
0,27,educationconcentrationid,389
0,28,educationconcentrationid,390
0,29,educationconcentrationid,391
0,30,educationconcentrationid,338
0,31,educationconcentrationid,392
0,32,educationconcentrationid,393
0,33,educationconcentrationid,215
0,34,educationconcentrationid,394
0,35,educationconcentrationid,395
0,36,educationconcentrationid,396
0,37,educationconcentrationid,397
0,38,educationconcentrationid,216
0,39,educationconcentrationid,398
0,40,educationconcentrationid,399
0,41,educationconcentrationid,400
0,42,educationconcentrationid,401
0,43,educationconcentrationid,217
0,44,educationconcentrationid,18
0,45,educationconcentrationid,402
0,46,educationconcentrationid,403
0,47,educationconcentrationid,404
0,48,educationconcentrationid,405
0,49,educationconcentrationid,406
0,50,educationconcentrationid,407
0,51,educationconcentrationid,408
0,52,educationconcentrationid,409
0,53,educationconcentrationid,410
0,54,educationconcentrationid,411
0,55,educationconcentrationid,412
0,56,educationconcentrationid,413
0,57,educationconcentrationid,414
0,58,educationconcentrationid,415
0,59,educationconcentrationid,416
0,60,educationconcentrationid,218
0,61,educationconcentrationid,417
0,62,educationconcentrationid,418
0,63,educationconcentrationid,419
0,64,educationconcentrationid,420
0,65,educationconcentrationid,421
0,66,educationconcentrationid,422
0,67,educationconcentrationid,423
0,68,educationconcentrationid,424
0,69,educationconcentrationid,425
0,70,educationconcentrationid,426
0,71,educationconcentrationid,427
0,72,educationconcentrationid,428
0,73,educationconcentrationid,429
0,74,educationconcentrationid,430
0,75,educationdegreeid,21
0,76,educationdegreeid,431
0,77,educationdegreeid,313
0,78,educationdegreeid,432
0,79,educationdegreeid,433
1,80,educationdegreeid,22
0,81,educationdegreeid,434
0,82,educationdegreeid,23
0,83,educationdegreeid,435
0,84,educationdegreeid,222
0,85,educationdegreeid,436
0,86,educationdegreeid,223
0,87,educationdegreeid,437
0,88,educationdegreeid,438
0,89,educationschoolid,439
0,90,educationschoolid,440
0,91,educationschoolid,225
0,92,educationschoolid,441
0,93,educationschoolid,442
0,94,educationschoolid,314
0,95,educationschoolid,443
0,96,educationschoolid,444
0,97,educationschoolid,226
0,98,educationschoolid,227
0,99,educationschoolid,445
0,100,educationschoolid,446
0,101,educationschoolid,447
0,102,educationschoolid,228
0,103,educationschoolid,448
0,104,educationschoolid,229
0,105,educationschoolid,449
0,106,educationschoolid,450
0,107,educationschoolid,451
0,108,educationschoolid,452
0,109,educationschoolid,453
0,110,educationschoolid,230
0,111,educationschoolid,315
0,112,educationschoolid,454
0,113,educationschoolid,455
0,114,educationschoolid,456
0,115,educationschoolid,457
0,116,educationschoolid,232
0,117,educationschoolid,458
0,118,educationschoolid,459
0,119,educationschoolid,460
0,120,educationschoolid,461
0,121,educationschoolid,462
0,122,educationschoolid,463
0,123,educationschoolid,464
